business,storeId,registerId,zreadingId,startTrxNumber,startORNumber,endTrxNumber,endORNumber,needFixMin,needFixMax,modifyTimeWrong
juhacafe,66c6def886176d0007ab9c8b,66c6def886176d0007ab9c8d,66f8b4d7bed9ca00070036e3,4,4,25,25,needFixMin,,
juhacafe,66c6def886176d0007ab9c8b,66c6def886176d0007ab9c8d,66fb582ec41ee900078ef8b9,26,26,39,39,needFixMin,,
designstory,663994b29dbbd900087f409d,65c303744fe4ffc368d2c74d,670a51959dd38700073ee1ff,4178,4178,4244,4244,needFixMin,,
organicogourmetinc,6513bb183c677c000791fe4a,6513bb850e9ee6000734fa76,66f49bac6566d100073dce25,496,496,512,512,needFixMin,,
dapoattisa,64c083450b365d00077158da,64d1ac3fd394840007ff1bdf,66f4ea7d23846000073294f8,13945,13945,13951,13951,needFixMin,,
toj,5db94424a7e8e71f263f876e,5db94461a7ab6b7094d132fa,66e980c49678140007832ee5,248951,0,249117,246768,needFixMin,,
cafebasilico,65b85beb0661ad000771586a,65b85beb0661ad000771586c,66f8b711ff96eb0007ab490f,3141,3135,3159,3153,needFixMin,,
novatownchinesecuisine,64e8b0b14675fa00071ed89b,64e8b0b14675fa00071ed89d,66f6c4a2dec2a60007ba7f1a,6968,6968,6992,6992,needFixMin,,
bokkoreanfriedchicken,630f3665824c3d00073dbfae,62cbf82c983fe600071a6fac,66f45ffdeca08000069a8042,81195,81181,81280,81266,needFixMin,,
mmfssi,65e93649f38e710007f160da,65e92658e68aa800082d711b,67068a0325bc5a000838269c,11169,11168,11228,11227,needFixMin,,